sensor_reading_id,taken_at,temperature,last_watered,soil_moisture,plant_id
1,2025-06-04 12:40:19,14.77,2025-06-03 13:51:41,21.72,1
2,2025-06-04 12:40:19,14.25,2025-06-03 14:58:34,27.34,2
3,2025-06-04 12:40:20,16.45,2025-06-03 13:58:19,19.01,3
4,2025-06-04 12:40:19,16.54,2025-06-03 14:56:07,22.98,4
5,2025-06-04 12:40:20,17.41,2025-06-03 13:57:08,22.33,5
6,2025-06-04 12:40:20,107.42,2025-06-03 13:03:31,16.33,6
7,2025-06-04 12:40:19,16.81,2025-06-03 13:33:20,21.19,7
8,2025-06-04 12:40:20,12.85,2025-06-03 14:19:58,25.81,8
9,2025-06-04 12:40:20,14.3,2025-06-03 14:15:42,23.09,9
10,2025-06-04 12:40:19,17.12,2025-06-03 13:32:16,19.77,10
11,2025-06-04 12:40:20,16.4,2025-06-03 13:34:25,17.99,11
12,2025-06-04 12:40:19,14.95,2025-06-03 14:46:28,25.77,12
13,2025-06-04 12:40:20,15.65,2025-06-03 13:28:35,18.69,13
14,2025-06-04 12:40:19,16.38,2025-06-03 14:17:16,25.32,14
