country_id,country_name
1,Albania
2,American Samoa
3,Mozambique
4,Taiwan
5,Saint Kitts and Nevis
6,Mauritius
7,Liberia
8,Cayman Islands
9,Nicaragua
10,Mali
11,Wallis and Futuna
12,French Southern Territories
13,Canada
14,Norway
15,Jamaica
16,Congo
17,Macao
18,Egypt
19,China
20,Pitcairn Islands
21,Sweden
22,Italy
23,Guernsey
24,Bosnia and Herzegovina
25,Senegal
26,Palau
27,Saint Martin
28,Cameroon
29,Mexico
30,Western Sahara
31,Yemen
32,Puerto Rico
33,Russian Federation
34,Greece
35,Saint Vincent and the Grenadines
36,Nigeria
37,Peru
38,Cyprus
39,Heard Island and McDonald Islands
40,Jersey
41,Greenland
42,Togo
43,Antigua and Barbuda
